type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220313T110150.000Z,,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,,eventDeck,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Knight,11,14,Royal Delivery,11,14,Hog Rider,9,12,Skeletons,11,14,The Log,3,6,Archer Queen,1,4,Earthquake,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YQY0GQQU,[H] Axel Coria,6747,0,,,,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Magic Archer,3,6,Heal Spirit,9,12,Battle Ram,9,12,Elite Barbarians,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T105533.000Z,,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,,eventDeck,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Knight,11,14,Royal Delivery,11,14,Hog Rider,9,12,Skeletons,11,14,The Log,3,6,Archer Queen,1,4,Earthquake,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RYUJCQYYP,watery,5312,0,#QJ2GJGGJ,厨艺交流中心,16000039,Mega Knight,3,6,Ram Rider,3,6,Lightning,6,9,Archer Queen,1,4,Inferno Dragon,3,6,Barbarian Barrel,6,9,Giant Snowball,11,14,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220313T104948.000Z,,54000041,Legendary Arena,72000291,Challenge_AllCards_EventDeck,,eventDeck,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Knight,11,14,Royal Delivery,11,14,Hog Rider,9,12,Skeletons,11,14,The Log,3,6,Archer Queen,1,4,Earthquake,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJL8QGPV0,StaR。,5008,0,#8U0GCVVR,stargazer,16000040,Balloon,6,9,Miner,3,6,The Log,3,6,Giant Snowball,11,14,Ice Golem,9,12,Hunter,6,9,Royal Delivery,11,14,Minions,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T103925.000Z,,54000019,Grand Champion,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,0,#9C2YR8UV,Q8Team EG,16000003,Lava Hound,3,6,Skeleton King,1,4,Mega Minion,9,12,Tombstone,9,12,Miner,3,6,Arrows,11,14,Skeleton Dragons,11,14,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y022GRCJQ,CALjaDeArena:),7424,1,#QL02VCYL,CAL2022,16000128,Fire Spirit,11,14,Bomb Tower,9,12,Earthquake,9,12,Hog Rider,9,12,Knight,11,14,The Log,3,6,Archer Queen,1,4,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T103511.000Z,,54000019,Grand Champion,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#9C2YR8UV,Q8Team EG,16000003,Mega Knight,3,6,Ram Rider,3,6,Lightning,6,9,Giant Snowball,11,14,Zappies,9,12,Tombstone,9,12,Skeleton King,1,4,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y022GRCJQ,CALjaDeArena:),7424,0,#QL02VCYL,CAL2022,16000128,Guards,6,9,Rocket,9,12,The Log,3,6,Goblin Barrel,6,9,Valkyrie,9,12,Princess,3,6,Electro Spirit,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220313T102850.000Z,,54000019,Grand Champion,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,0,#9C2YR8UV,Q8Team EG,16000003,Giant Skeleton,6,9,Zappies,9,12,Barbarian Barrel,6,9,Earthquake,9,12,Royal Giant,11,14,Musketeer,9,12,Electro Spirit,11,14,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y022GRCJQ,CALjaDeArena:),7424,1,#QL02VCYL,CAL2022,16000128,Giant,9,12,The Log,3,6,Giant Snowball,11,14,Archer Queen,1,4,Bats,11,14,Mini P.E.K.K.A,9,12,Skeletons,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220312T233110.000Z,,54000017,Master III,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#LJLRC9R0,..,16000005,Archer Queen,1,4,Flying Machine,9,12,Royal Hogs,9,12,Dark Prince,6,9,Arrows,11,14,Tombstone,9,12,Electro Spirit,11,14,Royal Recruits,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CPCC890,adriel,6727,0,#LJLRC9R0,..,16000005,Magic Archer,3,6,Golden Knight,1,4,Tornado,6,9,Barbarian Barrel,6,9,Cannon Cart,6,9,Goblin Drill,6,9,Electro Wizard,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220312T232616.000Z,,54000018,Champion,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#LJLRC9R0,..,16000005,Zappies,9,12,Ram Rider,3,6,Giant Snowball,11,14,Minions,11,14,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CPCC890,adriel,6727,0,#LJLRC9R0,..,16000005,Hog Rider,9,12,Bomb Tower,9,12,The Log,3,6,Archer Queen,1,4,Skeletons,11,14,Fire Spirit,11,14,Valkyrie,9,12,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220312T232028.000Z,,54000017,Master III,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#LJLRC9R0,..,16000005,Bowler,6,9,Graveyard,3,6,Freeze,6,9,Ice Wizard,3,6,Valkyrie,9,12,Tornado,6,9,Inferno Dragon,3,6,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CPCC890,adriel,6727,0,#LJLRC9R0,..,16000005,Minion Horde,11,14,Fireball,9,12,Bats,11,14,Miner,3,6,Mortar,11,14,Skeleton King,1,4,Skeleton Army,6,9,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220312T231211.000Z,,54000017,Master III,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#LJLRC9R0,..,16000005,Princess,3,6,The Log,3,6,Spear Goblins,11,14,Fireball,9,12,Cannon Cart,6,9,Rascals,11,14,Goblin Barrel,6,9,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CPCC890,adriel,6727,0,#LJLRC9R0,..,16000005,Electro Spirit,11,14,Tombstone,9,12,Lightning,6,9,Fisherman,3,6,Royal Giant,11,14,Hunter,6,9,Barbarian Barrel,6,9,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220312T230431.000Z,,54000017,Master III,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#LJLRC9R0,..,16000005,Giant Skeleton,6,9,Zappies,9,12,Barbarian Barrel,6,9,Earthquake,9,12,Royal Giant,11,14,Musketeer,9,12,Electro Spirit,11,14,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CPCC890,adriel,6727,0,#LJLRC9R0,..,16000005,Mega Knight,3,6,Wall Breakers,6,9,Bats,11,14,Royal Ghost,3,6,Prince,6,9,Musketeer,9,12,Goblin Drill,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220312T225916.000Z,,54000017,Master III,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,0,#LJLRC9R0,..,16000005,Minion Horde,11,14,Arrows,11,14,Bats,11,14,Miner,3,6,Skeleton King,1,4,Tesla,11,14,Skeleton Army,6,9,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CPCC890,adriel,6727,1,#LJLRC9R0,..,16000005,Knight,11,14,Fire Spirit,11,14,Guards,6,9,Miner,3,6,Archer Queen,1,4,Mortar,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220312T225255.000Z,,54000018,Champion,72000007,Friendly,,collection,#G9YV9GR8R,Mohamed Light,7247,1,#LJLRC9R0,..,16000005,Knight,11,14,Fire Spirit,11,14,Skeletons,11,14,Miner,3,6,Archer Queen,1,4,Mortar,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CPCC890,adriel,6727,0,#LJLRC9R0,..,16000005,Lava Hound,3,6,Miner,3,6,Arrows,11,14,Tombstone,9,12,Flying Machine,9,12,Skeleton Dragons,11,14,Mega Minion,9,12,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
